"","Gene","Contrast","Estimate","Pr(>|t|)","FDR","TargetName","RTS_ID"
"9937","ZFP36L1","normal - DKD",0.278280006977647,0.475275626262039,0.91002610527225,"ZFP36L1","RTS0028883"
"9938","ZFP36L2","normal - DKD",0.00628570818760332,0.976950531656431,0.997081633520866,"ZFP36L2","RTS0051913"
"9939","ZFP41","normal - DKD",-0.0744293068024856,0.756440139334429,0.95631540274473,"ZFP41","RTS0037498"
"9940","ZFP62","normal - DKD",-0.0228749747288308,0.900717249329756,0.980061069053183,"ZFP62","RTS0025151"
"9941","ZFP69B","normal - DKD",-0.169722499055431,0.264909430248409,0.882738975620919,"ZFP69B","RTS0034225"
"9942","ZFP82","normal - DKD",0.144512390162079,0.482150495595686,0.910617690250168,"ZFP82","RTS0036096"
"9943","ZFP90","normal - DKD",-0.144651123410914,0.433816245582283,0.901543922554723,"ZFP90","RTS0036091"
"9944","ZFP91","normal - DKD",0.215194401957333,8.3828206228085e-05,0.0211750048932143,"ZFP91","RTS0025425"
"9945","ZFPL1","normal - DKD",0.03014051065845,0.849595382995477,0.973247617805861,"ZFPL1","RTS0030189"
"9946","ZFPM1","normal - DKD",-0.120797479053484,0.613246672422437,0.930308561969089,"ZFPM1","RTS0051914"
"9947","ZFPM2","normal - DKD",-0.149409389016213,0.333588829837935,0.884793847476346,"ZFPM2","RTS0030557"
"9948","ZFR","normal - DKD",0.297563886584365,0.0579272783710983,0.817127136204832,"ZFR","RTS0032115"
"9949","ZFYVE1","normal - DKD",-0.148469382955548,0.168452052920139,0.867483403098636,"ZFYVE1","RTS0033841"
"9950","ZFYVE16","normal - DKD",0.134758558115049,0.338600292334964,0.886006736464057,"ZFYVE16","RTS0023866"
"9951","ZFYVE19","normal - DKD",-0.134152323706825,0.512853935152578,0.91682039231748,"ZFYVE19","RTS0035455"
"9952","ZFYVE21","normal - DKD",0.237122552758177,0.0558118198832812,0.817127136204832,"ZFYVE21","RTS0034298"
"9953","ZFYVE26","normal - DKD",-0.100231441348773,0.458260158773812,0.904877984023959,"ZFYVE26","RTS0051915"
"9954","ZFYVE27","normal - DKD",-0.0442121198553203,0.582439961333738,0.924615710023273,"ZFYVE27","RTS0021807"
"9955","ZFYVE28","normal - DKD",-0.0222023817103926,0.904912572993218,0.980905953751655,"ZFYVE28","RTS0025153"
"9956","ZFYVE9","normal - DKD",0.210047516174673,0.127225374390511,0.84106358425058,"ZFYVE9","RTS0028798"
"9957","ZGPAT","normal - DKD",-0.0193428478813463,0.937184663767346,0.988715871602255,"ZGPAT","RTS0023574"
"9958","ZHX3","normal - DKD",-0.0957965152658758,0.543326342304266,0.917427792540627,"ZHX3","RTS0031580"
"9959","ZIC3","normal - DKD",-0.285560307557614,0.362644909397023,0.894170600374308,"ZIC3","RTS0027839"
"9960","ZKSCAN1","normal - DKD",0.221217821312592,0.144136394661236,0.853132230098242,"ZKSCAN1","RTS0027857"
"9961","ZKSCAN3","normal - DKD",0.0187723843575471,0.889722178685048,0.978227037035704,"ZKSCAN3","RTS0025705"
"9962","ZKSCAN5","normal - DKD",-0.207922379317047,0.246895500523837,0.876619682056203,"ZKSCAN5","RTS0031281"
"9963","ZKSCAN8","normal - DKD",0.158479664616144,0.205004710433895,0.876619682056203,"ZKSCAN8","RTS0026038"
