""	"RTS_ID"	"TargetName"	"Module"	"CodeClass"	"ProbeID"	"Negative"
"RTS0021046"	"RTS0021046"	"KHK"	"TAP_H_WTA_v1.0"	"Endogenous"	"35764"	FALSE
"RTS0021048"	"RTS0021048"	"KRT12"	"TAP_H_WTA_v1.0"	"Endogenous"	"35765"	FALSE
"RTS0021049"	"RTS0021049"	"KRT18"	"TAP_H_WTA_v1.0"	"Endogenous"	"35766"	FALSE
"RTS0021050"	"RTS0021050"	"KRT9"	"TAP_H_WTA_v1.0"	"Endogenous"	"35767"	FALSE
"RTS0021051"	"RTS0021051"	"LAMA3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35768"	FALSE
"RTS0021052"	"RTS0021052"	"LAMB3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35769"	FALSE
"RTS0021053"	"RTS0021053"	"LCAT"	"TAP_H_WTA_v1.0"	"Endogenous"	"35770"	FALSE
"RTS0021054"	"RTS0021054"	"LEP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35771"	FALSE
"RTS0021055"	"RTS0021055"	"SGCG"	"TAP_H_WTA_v1.0"	"Endogenous"	"35772"	FALSE
"RTS0021056"	"RTS0021056"	"SGCB"	"TAP_H_WTA_v1.0"	"Endogenous"	"35773"	FALSE
"RTS0021057"	"RTS0021057"	"LHCGR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35774"	FALSE
"RTS0021058"	"RTS0021058"	"LIG1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35775"	FALSE
"RTS0021059"	"RTS0021059"	"LIPA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35776"	FALSE
"RTS0021060"	"RTS0021060"	"LIPC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35777"	FALSE
"RTS0021062"	"RTS0021062"	"LYZ"	"TAP_H_WTA_v1.0"	"Endogenous"	"35778"	FALSE
"RTS0021064"	"RTS0021064"	"MBL2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35779"	FALSE
"RTS0021065"	"RTS0021065"	"MEFV"	"TAP_H_WTA_v1.0"	"Endogenous"	"35780"	FALSE
"RTS0021068"	"RTS0021068"	"MLH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35781"	FALSE
"RTS0021069"	"RTS0021069"	"MPO"	"TAP_H_WTA_v1.0"	"Endogenous"	"35782"	FALSE
"RTS0021070"	"RTS0021070"	"MSH2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35783"	FALSE
"RTS0021071"	"RTS0021071"	"MTM1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35784"	FALSE
"RTS0021072"	"RTS0021072"	"MTTP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35785"	FALSE
"RTS0021073"	"RTS0021073"	"MTR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35786"	FALSE
"RTS0021074"	"RTS0021074"	"MMUT"	"TAP_H_WTA_v1.0"	"Endogenous"	"35787"	FALSE
"RTS0021075"	"RTS0021075"	"MYBPC3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35788"	FALSE
"RTS0021076"	"RTS0021076"	"MYH7"	"TAP_H_WTA_v1.0"	"Endogenous"	"35789"	FALSE
"RTS0021077"	"RTS0021077"	"MYL3"	"TAP_H_WTA_v1.0"	"Endogenous"	"35790"	FALSE
"RTS0021078"	"RTS0021078"	"MYO5A"	"TAP_H_WTA_v1.0"	"Endogenous"	"35791"	FALSE
"RTS0021079"	"RTS0021079"	"MYOC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35792"	FALSE
