gene,beta
RTS0034957,0.00957034
RTS0034960,0.00245511
RTS0034975,-0.00627021
RTS0035137,0.0191039
RTS0035212,0.000151298
RTS0035229,-0.00721782
RTS0035239,0.00375321
RTS0035359,0.0031407
RTS0035381,-0.0145727
RTS0035451,0.0144994
RTS0035570,-0.0291082
RTS0035637,0.00516743
RTS0035742,-0.00606344
RTS0035763,0.00521738
RTS0035766,-0.0018514
RTS0035799,-0.00128236
RTS0035809,-0.00206007
RTS0035816,0.00197407
RTS0035900,0.000906716
RTS0036070,0.0039572
RTS0036079,0.00148315
RTS0036100,0.00361567
RTS0036140,0.0139296
RTS0036265,0.00521732
RTS0036278,0.00308645
RTS0036625,0.000680927
RTS0036709,0.0129912
RTS0036725,-0.00839148
RTS0036792,0.000711201
RTS0037005,-0.00457321
RTS0037051,-0.00233357
RTS0037073,0.000235587
RTS0037331,0.000993971
RTS0037352,0.0024295
RTS0037383,0.000234002
RTS0037599,0.000160303
RTS0037601,0.00386752
RTS0037633,0.00272445
RTS0037658,-0.00929594
RTS0037734,-0.000471357
RTS0037875,-0.0334499
RTS0037913,0.00886711
RTS0038304,-0.0115806
RTS0038346,0.00661535
RTS0038397,0.000204859
RTS0038551,0.00706773
RTS0038560,-0.0024001
RTS0038576,0.0222129
RTS0038702,0.000113618
RTS0038968,0.00178408
RTS0038986,0.00521728
RTS0039036,0.0110185
RTS0039039,-0.0288966
RTS0039347,0.0086697
RTS0039361,0.000400087
RTS0049590,0.000872002
RTS0049701,0.000350202
RTS0049713,0.00611407
RTS0049734,0.00923217
RTS0049782,0.00134857
RTS0049908,0.0783472
RTS0049909,0.0114273
RTS0049987,-0.11983
RTS0050006,-0.000184292
RTS0050115,0.0461855
RTS0050167,-0.00327768
RTS0050208,-0.00174433
RTS0050230,0.0317187
RTS0050247,-0.0118801
RTS0050255,-0.0101002
RTS0050309,-0.00588494
RTS0050311,-0.0225842
RTS0050422,-0.00262584
RTS0050423,0.00218882
RTS0050469,0.0142647
RTS0050495,0.00338406
RTS0050499,0.0975501
RTS0050651,0.00944622
RTS0050657,0.00231951
RTS0050721,0.000229231
RTS0050732,-0.00277816
RTS0050806,0.0935415
RTS0050835,0.00602176
RTS0050843,-0.000176372
RTS0050848,-0.0895285
RTS0050855,0.000600175
RTS0050883,0.00686896
RTS0050931,0.00162066
RTS0050944,-0.000980771
RTS0050946,0.00206457
RTS0051029,0.0102707
RTS0051048,-0.0548323
RTS0051062,-0.00440061
RTS0051130,-0.0588369
RTS0051166,0.00884948
RTS0051170,-0.0131657
RTS0051276,0.00720757
RTS0051301,0.0046982
RTS0051327,0.006651
RTS0051328,0.00053303
RTS0051392,-0.0068442
RTS0051423,-0.0153171
RTS0051479,-0.000389564
RTS0051546,-0.0223685
RTS0051593,0.0205184
RTS0051637,-0.00502265
RTS0051658,0.0291546
RTS0051741,-0.000881783
RTS0051836,0.0273923
RTS0051854,0.0248402
RTS0051855,0.0251572
RTS0051908,0.00290949
RTS0052001,0.0603795
RTS0052003,0.0149974
RTS0052004,0.0370258
RTS0052005,0.0342898
RTS0052006,0.0677119
RTS0052008,0.0586212
RTS0052009,0.00514229
